IP,MAC,HOSTID,IsProtected
192.168.25.150,005056AE143B,1425,True
192.168.25.163,005056AABBCC,1438,True
192.168.25.167,005056AEB343,1442,True
192.168.25.180,005056AEC042,1455,True
192.168.25.23,005056AE196F,1298,True
192.168.25.254,D4A02AE9F1D0,1529,True
192.168.25.87,005056AE9F0A,1362,True
192.168.28.1,00E04C6807A0,1022,True
192.168.28.172,005056AE8E0B,1193,True
192.168.28.180,005056AE1AA3,1201,True
192.168.28.2,005056AEC1FB,1023,True
192.168.28.254,D4A02AE9F1D3,1275,True
192.168.28.4,00E04C6807A0,1025,True
192.168.28.87,005056AEDE26,1108,True
192.168.28.88,005056AEDE26,1109,True
192.168.28.88,005056AEDE27,1530,True
